3M SKU:;3M SKU Description:;Division:;contar
70200458118;First Primary Molars NI-CHRO # D-UR-2;OCSD;0
70200458126;First Primary Molars NI-CHRO # D-UR-3;OCSD;0
70200458134;First Primary Molars NI-CHRO # D-UR-4;OCSD;0
70200458142;First Primary Molars NI-CHRO # D-UR-5;OCSD;0
70200458159;First Primary Molars NI-CHRO # D-UR-6;OCSD;0
70200458167;First Primary Molars NI-CHRO # D-UR-7;OCSD;0
70200458175;First Primary Molars NI-CHRO # D-UL-2;OCSD;0
70200458183;First Primary Molars NI-CHRO # D-UL-3;OCSD;0
70200458191;First Primary Molars NI-CHRO # D-UL-4;OCSD;0
70200458209;First Primary Molars NI-CHRO # D-UL-5;OCSD;0
70200458217;First Primary Molars NI-CHRO # D-UL-6;OCSD;0
70200458225;First Primary Molars NI-CHRO # D-UL-7;OCSD;0
70200458233;First Primary Molars NI-CHRO # D-LR-2;OCSD;0
70200458241;First Primary Molars NI-CHRO # D-LR-3;OCSD;0
70200458258;First Primary Molars NI-CHRO # D-LR-4;OCSD;0
70200458266;First Primary Molars NI-CHRO # D-LR-5;OCSD;0
70200458274;First Primary Molars NI-CHRO # D-LR-6;OCSD;0
70200458282;First Primary Molars NI-CHRO # D-LR-7;OCSD;0
70200458290;First Primary Molars NI-CHRO # D-LL-2;OCSD;0
70200458308;First Primary Molars NI-CHRO # D-LL-3;OCSD;0
70200458316;First Primary Molars NI-CHRO # D-LL-4;OCSD;0
70200458324;First Primary Molars NI-CHRO # D-LL-5;OCSD;0
70200458332;First Primary Molars NI-CHRO # D-LL-6;OCSD;0
70200458340;First Primary Molars NI-CHRO # D-LL-7;OCSD;0
70200458357;Second Primary Molars NI-CHRO # E-UR-2;OCSD;0
70200458365;Second Primary Molars NI-CHRO # E-UR-3;OCSD;0
70200458373;Second Primary Molars NI-CHRO # E-UR-4;OCSD;0
70200458381;Second Primary Molars NI-CHRO # E-UR-5;OCSD;0
70200458399;Second Primary Molars NI-CHRO # E-UR-6;OCSD;0
70200458407;Second Primary Molars NI-CHRO # E-UR-7;OCSD;0
70200458415;Second Primary Molars NI-CHRO # E-UL-2;OCSD;0
70200458423;Second Primary Molars NI-CHRO # E-UL-3;OCSD;0
70200458431;Second Primary Molars NI-CHRO # E-UL-4;OCSD;0
70200458449;Second Primary Molars NI-CHRO # E-UL-5;OCSD;0
70200458456;Second Primary Molars NI-CHRO # E-UL-6;OCSD;0
70200458464;Second Primary Molars NI-CHRO # E-UL-7;OCSD;0
70200458472;Second Primary Molars NI-CHRO # E-LR-2;OCSD;0
70200458480;Second Primary Molars NI-CHRO # E-LR-3;OCSD;0
70200458498;Second Primary Molars NI-CHRO # E-LR-4;OCSD;0
70200458647;Second Primary Molars NI-CHRO # E-LR-5;OCSD;0
70200458654;Second Primary Molars NI-CHRO # E-LR-6;OCSD;0
70200458662;Second Primary Molars NI-CHRO # E-LR-7;OCSD;0
70200458670;Second Primary Molars NI-CHRO # E-LL-2;OCSD;0
70200458688;Second Primary Molars NI-CHRO # E-LL-3;OCSD;0
70200458696;Second Primary Molars NI-CHRO # E-LL-4;OCSD;0
70200458704;Second Primary Molars NI-CHRO # E-LL-5;OCSD;0
70200458712;Second Primary Molars NI-CHRO # E-LL-6;OCSD;0
70200458720;Second Primary Molars Ni-Chro;OCSD;0
70200459785;Coronas Anteriores de Policarbonato #15;OCSD;0
70200459793;Coronas Anteriores de Policarbonato #16;OCSD;0
70200459801;Coronas Anteriores de Policarbonato #17;OCSD;0
70200459819;Coronas Anteriores de Policarbonato #18;OCSD;0
70200459827;Coronas Anteriores de Policarbonato #19;OCSD;0
70200459835;Coronas Anteriores de Policarbonato #102;OCSD;0
70200459843;Coronas Anteriores de Policarbonato #103;OCSD;0
70200459850;Coronas Anteriores de Policarbonato #25;OCSD;0
70200459868;Coronas Anteriores de Policarbonato #26;OCSD;0
70200459876;Coronas Anteriores de Policarbonato #27;OCSD;0
70200459884;Coronas Anteriores de Policarbonato #28;OCSD;0
70200459892;Coronas Anteriores de Policarbonato #29;OCSD;0
70200459918;Coronas Anteriores de Policarbonato #35;OCSD;0
70200459926;Coronas Anteriores de Policarbonato #36;OCSD;0
70200459934;Coronas Anteriores de Policarbonato #37;OCSD;0
70200459942;Coronas Anteriores de Policarbonato #38;OCSD;0
70200459959;Coronas Anteriores de Policarbonato #39;OCSD;0
70200459967;Coronas Anteriores de Policarbonato #302;OCSD;0
70200459975;Coronas Anteriores de Policarbonato #303;OCSD;0
70200459983;Coronas Anteriores de Policarbonato #100;OCSD;0
70200459991;Coronas Anteriores de Policarbonato #101;OCSD;0
70200460007;Coronas Anteriores de Policarbonato #10;OCSD;0
70200460015;Coronas Anteriores de Policarbonato #11;OCSD;0
70200460023;Coronas Anteriores de Policarbonato #12;OCSD;0
70200460031;Coronas Anteriores de Policarbonato #13;OCSD;0
70200460049;Coronas Anteriores de Policarbonato #14;OCSD;0
70200460056;Coronas Anteriores de Policarbonato # 2;OCSD;0
70200460064;Coronas Anteriores de Policarbonato #20;OCSD;0
70200460072;Coronas Anteriores de Policarbonato #21;OCSD;0
70200460080;Coronas Anteriores de Policarbonato #22;OCSD;0
70200460098;Coronas Anteriores de Policarbonato #23;OCSD;0
70200460106;Coronas Anteriores de Policarbonato #24;OCSD;0
70200460114;Coronas Anteriores de Policarbonato #300;OCSD;0
70200460122;Coronas Anteriores de Policarbonato #301;OCSD;0
70200460130;Coronas Anteriores de Policarbonato #30;OCSD;0
70200460148;Coronas Anteriores de Policarbonato #31;OCSD;0
70200460155;Coronas Anteriores de Policarbonato #32;OCSD;0
70200460163;Coronas Anteriores de Policarbonato #33;OCSD;0
70200460171;Coronas Anteriores de Policarbonato #34;OCSD;0
70200460189;Coronas Anteriores de Policarbonato #40;OCSD;0
70200460197;Coronas Anteriores de Policarbonato #41;OCSD;0
70200460205;Coronas Anteriores de Policarbonato #42;OCSD;0
70200460213;Coronas Anteriores de Policarbonato #43;OCSD;0
70200460221;Coronas Anteriores de Policarbonato #44;OCSD;0
70200460239;Coronas Anteriores de Policarbonato #50;OCSD;0
70200460247;Coronas Anteriores de Policarbonato #51;OCSD;0
70200460254;Coronas Anteriores de Policarbonato #52;OCSD;0
70200460262;Coronas Anteriores de Policarbonato #53;OCSD;0
70200460270;Coronas Anteriores de Policarbonato #54;OCSD;0
70200460288;Coronas Anteriores de Policarbonato #60;OCSD;0
70200460296;Coronas Anteriores de Policarbonato #61;OCSD;0
70200460304;Coronas Anteriores de Policarbonato #62;OCSD;0
70200460312;Coronas Anteriores de Policarbonato #63;OCSD;0
70200460320;Coronas Anteriores de Policarbonato #64;OCSD;0
70200460338;Coronas Anteriores de Policarbonato #65;OCSD;0
70200460346;Coronas Anteriores de Policarbonato #66;OCSD;0
70200460353;Coronas Anteriores de Policarbonato #68;OCSD;0
70200460361;Coronas Anteriores de Policarbonato #69;OCSD;0
70200461955;Coronas Anteriores de Policarbonato #67;OCSD;0
70200470576;1983 RA Porta Discos Sof-Lex;OCSD;0
70200474123;1980 Kit Discos Sof-Lex;OCSD;0
70200480963;1981M Discos Sof-Lex;OCSD;0
70200480971;1981SF Discos Sof-Lex;OCSD;0
70200480989;1982C Discos Sof-Lex;OCSD;0
70200480997;1982F Discos Sof-Lex;OCSD;0
70200481037;1919B Pinceles Desechables;OCSD;0
70200481052;1981C Discos Sof-Lex;OCSD;0
70200481060;1981F Discos Sof-Lex;OCSD;0
70200481078;1982M Discos Sof-Lex;OCSD;0
70200481086;1982SF Discos Sof-Lex;OCSD;0
70200523879;2380 Kit Sof-Lex XT;OCSD;0
70200523887;2381C Discos Sof-Lex XT;OCSD;0
70200523895;2381M Discos Sof-Lex;OCSD;0
70200523903;2381F Discos Soft-Lex XT;OCSD;0
70200523911;2381SF Discos Soft-Lex XT;OCSD;0
70200523929;2382C Discos Sof-Lex XT;OCSD;0
70200523937;2382M Discos Sof-Lex XT;OCSD;0
70200523945;2382F Discos Sof-Lex XT;OCSD;0
70200523952;2382SF Discos Soflex XT;OCSD;0
70200524356;7301H Mat.Liviano Express Azul (Rápido 96 ml       / 12 Puntas Mezcladoras);OCSD;0
70200552134;7312 Material Pesado Express( 610ML);OCSD;0
70201001016;Puntas de Mezclado Express                        (48 puntas);OCSD;0
70201001024;Repuesto Imprint 1:4;OCSD;0
70201002741;Pistola Dispensadora de Z100 y Vitremer;OCSD;0
70201004259;Puntas y Pistones Dispensador Vitremer;OCSD;0
70201004267;Polvo Vitremer Pedo;OCSD;0
70201004309;Repuesto Polvo Vitremer Restauracion;OCSD;0
70201005520;Kit Vitremer Restauracion (5 grs., colores A3, A4, C2, C4, P, Azul 8 ml Liquido, 6,5 ml Primer, 6,5 ml Glaseador);OCSD;0
70201013326;Vitrebond liquido;OCSD;0
70201013334;Primer Vitremer Restauracion;OCSD;0
70201013342;Liquido Vitremer Restauracion;OCSD;20
70201013359;Glaseador Final Vitremer;OCSD;0
70201013888;Kit Imprint II, Mat.de Impresion (2 Cart. Mat. Pesado/1 Cart Mat Liv de Baj Viscos./1 Reg. Viscos./24 Ptas Mezclado/16 Ptas Intraorales/2 Pistolas/1 Adh);OCSD;0
70201014266;Sellante Autocurado (6 ml Resina A, 6 ml Resina B, 9 ml Acido);OCSD;0
70201014282;Sellante Fotocurado (12 ml Resina, 9 ml Acido);OCSD;0
70201014316;Silano Scotchbond Ceramic-Primer;OCSD;0
70201014340;5508U Masking Agent universal;OCSD;0
70201014407;Repuesto Adhesivo Express;OCSD;0
70201014423;Acido Ortofosforico en Jeringa;OCSD;0
70201014852;Z100 A1 jeringa;OCSD;0
70201014860;Z100 A2 jeringa;OCSD;0
70201014878;Z100 A3 jeringa;OCSD;0
70201014886;Z100 A3,5 jeringa;OCSD;0
70201014894;8004 Z100 A4 jeringa;OCSD;0
70201014902;8004 Z100 B2 jeringa;OCSD;0
70201014910;8004 Z100 B3 jeringa;OCSD;0
70201014944;Z100 D3 jeringa;OCSD;0
70201014985;Z100 P jeringa;OCSD;0
70201016063;Kit Z100 4 jeringas (A2, A3, A3,5, B2) y SB Mutiproposito;OCSD;0
70201016097;Acido Ortofosforico Gel;OCSD;20
70201016105;Primer Scotchbond Multiproposito;OCSD;0
70201016113;Adhesivo Scotchbond Multiproposito;OCSD;0
70201016139;Adhesivo Single Bond;OCSD;0
70201020198;lampara Fotocurado;OCSD;0
70201023960;Polvo A3 Vitremer;OCSD;0
70201024018;Polvo C2 Vitremer;OCSD;0
70201025585;7302H Material Liviano Express (2 Cartridge 96    ml / 12 Puntas Mezcladoras);OCSD;0
70201025593;Pistola Dispensadora Material Liviano Express;OCSD;0
70201025627;Kit Filtek Z250 (4 jeringas d 4 grs. Colores A2, A3, A3,5, B2), Acido, Single Bond, Accesorios;OCSD;0
70201025643;Filtek Z250 A1 jeringa;OCSD;0
70201025650;Filtek Z250 A2 jeringa;OCSD;0
70201025668;Filtek Z250 A3 jeringa;OCSD;0
70201025676;1370 Filtek Z250 A3,5 jeringa;OCSD;0
70201025684;Filtek Z250 A4 jeringa;OCSD;0
70201025700;1370 Filtek Z250 B1 jeringa;OCSD;0
70201025718;Filtek Z250 B2 jeringa;OCSD;0
70201025726;Filtek Z250 B3 jeringa;OCSD;0
70201025734;1370 Filtek Z250 C2 jeringa;OCSD;0
70201025742;Filtek Z250 C3 jeringa;OCSD;0
70201025759;Filtek Z250 C4 jeringa;OCSD;0
70201025767;1370 Filtek Z250 D3 jeringa;OCSD;0
70201025775;Filtek Z250 I jeringa;OCSD;0
70201025783;Filtek Z250 UD jeringa;OCSD;0
70201026047;Kit Filtek P60;OCSD;0
70201026054;8100 Filtek P60 A3 jeringa;OCSD;0
70201026062;8100 Filtek P60 B2 jeringa;OCSD;0
70201026088;Kit Vitremer A3;OCSD;332
70201026104;Kit Vitremer Pediatrico;OCSD;16
70201026112;Kit Vitrebond;OCSD;0
70201026781;Sectional Matrix Retainer System;OCSD;0
70201026815;Forceps Matrix;OCSD;0
70201026823;Refill Bandas Matrix Peque¤as;OCSD;0
70201026849;Refill Bandas Standard;OCSD;0
70201026856;Refill Bandas Large;OCSD;0
70201026864;Anillos Standard;OCSD;0
70201026872;Anillos Large;OCSD;0
70201026930;3419 RelyX ARC Kit introductorio;OCSD;0
70201026971;Kit Relyx Luting Cement;OCSD;0
70201026989;RelyX Luting Liquido;OCSD;0
70201026997;RelyX Luting Polvo 16 g;OCSD;0
70201027565;Filtek Flow A2 jeringa;OCSD;0
70201027573;Filtek Flow A3 jeringa;OCSD;0
70201028423;Filtek Flow Puntas jeringas;OCSD;0
70201029033;Filtek A110;OCSD;0
70201030130;Filtek A110 Syringe Refill;OCSD;0
70201030148;Filtex A110 Syringe Refill;OCSD;0
70201030155;Filtek A110 Jeringa Refill;OCSD;0
70201030171;Filtek A110 Jeringa Refill;OCSD;0
70201030189;Filtek A110;OCSD;0
70201030197;Filtek A110;OCSD;0
70201030205;Filtek A110;OCSD;0
70201030221;Filtek A110 Syr Refill Dentin;OCSD;0
70201030239;Filtek A110 Syr Refill Dentin;OCSD;0
70201030247;Filtek A110 Syr Refill Dentin;OCSD;0
70201030254;Filtek A110 Syr Refill Dentin;OCSD;0
70201030262;Filtek A110 Jeringa Refill;OCSD;0
70201030270;Filtex A110 Syr  Refill Dentin;OCSD;0
70201030288;Filtek A110 Jeringa Refill;OCSD;0
70201030296;Filtek A110;OCSD;0
70201030304;Filtek A110;OCSD;0
70201030312;Filtek A110 Jeringa Refill;OCSD;0
70201030338;Filtek A110 Syr Refill Enamel;OCSD;0
70201030346;1720 D3E Filtek A110 Refill Enamel;OCSD;0
70201031427;Climpro Sealant Kit;OCSD;0
70201031468;Climpro Sealant Kit Intro;OCSD;0
70201100552;RelyX Temp ( ex Procem);OCSD;0
70201103390;Ketac Cem Radiopaco(33 gr.polvo/12ml líquido);OCSD;0
70201103861;Ketac Molar Liquido;OCSD;0
70201104661;Cavit G Restaurador temporal;OCSD;0
70201110940;Kit Ketac Molar ART 15 grs.polvo 7,8 ml líquido;OCSD;0
70201111104;Jeringa Elastomerica;OCSD;0
70201111757;Lámpara Elipar Freelight;OCSD;0
70241938011;1948 Espatulas Aplicadoras de composite;OCSD;0
78804545719;Repuesto Ampolleta Visilux - lamparas 2500 /XL3000;OCSD;0
78806096364;COMPARTMENT LAMP;OCSD;0
78806096406;BRACKET;OCSD;0
78806096448;SWITCH CONTROL;OCSD;0
78806096455;BITTON - SWITCH CONTROL;OCSD;0
78806096588;THERMISTOR;OCSD;0
78806096646;COVER-FRONT;OCSD;0
78806096661;BALL 4 MM;OCSD;0
78806096679;FILTER, HEAT 18 X 1 MM;OCSD;0
78806096687;FILTER, BLUE 18 X 1 MM;OCSD;0
78806096703;CUP, LIGHTSHIELD;OCSD;0
78806097263;Repuesto Ampolleta lampara XL1000;OCSD;0
78806097289;LIGHT PROBE 12MM 70 DEGRE;OCSD;0
78806097875;PLASTIC ENCLOSURE  COVER;OCSD;0
78806097891;ON/OFF SWITCH;OCSD;0
78806097925;STRAIN RELIEF;OCSD;0
78806097974;FAN;OCSD;0
78806097990;WIRING PCB;OCSD;0
78806098022;BLUE FILTER;OCSD;0
78806098030;PLASTIC CONE ASSEMBLY;OCSD;0
78806098048;SOCKET CUP ASSEMBLY;OCSD;0
78806098063;FILTER O-RINGS;OCSD;0
78806098071;THERMISTOR;OCSD;0
78806098089;SNAP IN BRACKET;OCSD;0
XH002405690;31701 PROMO IMPREGUM(2 IMPREGUM+ADHESIVO) 10 EA/CARTON;OCSD;0
XH002405369;Promo RelyX ARC A3 + Single Bond;OCSD;0
70201034702;Kit Filtek Supreme 5 jeringas;OCSD;0
XH002405708;31700 Impregum Soft con Adhesivo;OCSD;0
70201034801;Filtek Supreme B2E jeringa 4 grs.;OCSD;0
70201034314;Filtek Supreme B1E jeringa 4 grs.;OCSD;0
70201034736;Filtek Supreme A1B jeringa 4 grs.;OCSD;0
70201034785;Filtek Supreme A2E jeringa 4 grs.;OCSD;0
70201034355;Filtek Supreme GT jeringa 4 grs.;OCSD;0
70201117580;ADPER Prompt L-Pop ( Pack 40 Unds.);OCSD;0
78806095499;Aditamento pared lampara 2500;OCSD;0
70201115410;ADPER Prompt L-Pop;OCSD;0
78806099731;MEMBRANE SWITCH;OCSD;0
70201115311;RelyX Temp (Cemento provisorio-Ex Procem) 36 grs.;OCSD;0
70201033274;Kit Filtek Supreme 12 jeringas;OCSD;0
XH002401954;1929S;OCSD;0
70201034769;Filtek Supreme A3,5B jeringa 4 grs.;OCSD;0
70201034199;Filtek Supreme A4B jeringa 4grs.;OCSD;0
70201034108;Filtek Supreme A6D jeringa 4 grs.;OCSD;0
70201013896;9371 Imprint II Auto mix tray refill;OCSD;0
70201033944;9378 Imprint II Light body refill;OCSD;0
70201033928;Sof-Lex Brush ( bolsa 12 unds.);OCSD;0
70201033936;Porta Sof-Lex Brush;OCSD;0
70201034348;Filtek Supreme WT jeringa 4 grs.;OCSD;0
70201034728;Filtek Supreme A4D jeringa 4 grs.;OCSD;0
78813116627;Ampolleta 12V 75W para visilux,Xl3000,XL2500      y lampara Elipar 2500;OCSD;0
70201106492;7307 Adhesivo VPS;OCSD;0
70200524349;7302H Mat. Liviano Express verde (regular 96 ml / 12 puntas mezcladoras);OCSD;0
70201014431;Puntas jeringas acido;OCSD;0
41530033798;Puntas de mezcla ( 12 unidades por bolsa);OCSD;0
41530009277;7302 H cartridge bulk Material liviano Express;OCSD;0
41530056914;Acido Ortofosfórico frasco de 9 ml;OCSD;0
70201037135;"3910P Filtek Supreme Kit 12 jeringas              colores:Body=A2,B2,C3,W,A3; Esmalte=A2,B2,B1,W;   A2D y G-T Y-T";OCSD;0
70201109975;Adhesivo para Polieter;OCSD;0
70201111997;Ketac Cem Easymix(30 gr.polvo/12ml líquido);OCSD;0
70201024927;Silano Scotchbond Ceramic-Primer;OCSD;0
41530054190;Single Bond frasco 3 ml;OCSD;0
70201108480;Impregum Penta Soft Kit Introductorio;OCSD;0
70201119073;56633 Ketac Molar Easymix;OCSD;0
70201037234;3910AL Kit Filtek Supreme 5 jeringas;OCSD;0
70201112839;Penta Mixing tips (50 unds);OCSD;0
70201036772;ADPER Single Bond 2 botella 6 grs.;OCSD;0
70201105759;77959 PENTAMIX2 230V/50HZ;OCSD;0
70201033217;Pistola Dispensadora Material Liviano Express;OCSD;0
70201036533;7301 Mat.Liviano Express Azul rapido;OCSD;8
70201036590;7302 Express material liviano regular;OCSD;3
41530070105;51201 ADPER Single Bond 2 vial 3gr.bulk;OCSD;0
70201108183;71461 Puntas Introrales 50 unidades;OCSD;0
70201033159;71451 Puntas de mezcla 50 unidades;OCSD;0
70201115832;Puntas intraorales amarillas Express;OCSD;0
XH002402648;DISCOS PULIR;OCSD;0
70201039867;6018 AL Filtek Z350 Kit 5 jeringas;OCSD;0
70201039784;6018 A1 Filtek Z350 jeringa;OCSD;0
70201039792;6018 A2 Filtek Z350 jeringa;OCSD;0
70201039800;6018 A3 Filtek Z350 jeringa;OCSD;0
70201039818;6018 A3,5 Filtek Z350 jeringa;OCSD;0
70201039826;6018 B2 Filtek Z350 jeringa;OCSD;0
70201039834;6018 B3 Filtek Z350 jeringa;OCSD;0
70201039842;6018 C2 Filtek Z350 jeringa;OCSD;0
70201039859;6018 A3O Filtek Z350 opaco jeringa;OCSD;0
70201122556;41462 Puntas introrales Garant amarillas;OCSD;0
70201038372;3910 B3B Filtek Supreme XT jeringa;OCSD;0
XH002401236;1980 DISCOS SURTIDOS 1/2 Y 3/8 CON 1 MANDRIL;OCSD;0
70201120485;31730 Impregum penta soft refill pack;OCSD;0
70201038448;3910 A2E Filtek Supreme XT jeringa;OCSD;0
70201121228;56908 Ketac Cem Easymix 15 g/6ml;OCSD;47
70201039974;6031 A2 Filtek Z350 Flow;OCSD;0
70201039982;6031 A3 Filtek Z350 Flow;OCSD;0
XH002406367;Promo relyX ARC + command medio/peque¦o;OCSD;0
70201117796;31749 Impregum Soft heavy refill pack;OCSD;0
70201117812;31750 Impregum Soft light body refill pack;OCSD;0
70201038455;3910 A3E Filtek Supreme XT jeringa;OCSD;0
70201115634;56815 RelyX Unicem Kit color surtido;OCSD;0
70201115642;56816 RelyX Unicem 50 caps color translúcido;OCSD;0
70201115659;56817 RelyX Unicem Kit 50 caps. color A3 Opaco;OCSD;0
70201115667;56818 RelyX Unicem Kit 50 caps color A2;OCSD;0
70201115675;56819 RelyX Unicem repuesto A1 20 caps;OCSD;0
70201115683;56820 RelyX Unicem repuesto blanco opaco 20 caps;OCSD;0
70201123562;77550 RelyX Unicem elongations tips;OCSD;0
XH002407142;Promo Kit P60 + parche spray nexcare;OCSD;0
70201037374;1910 Sellante Concise blanco autocurado;OCSD;0
XH002407233;56900 Ketac Cem + parche spray;OCSD;0
XH002407217;56633 Ketac Molar + Parche spray;OCSD;0
70201111526;37180 Maxicap Activador applier combination pack;OCSD;0
70201119792;56830 RelyX Unicem maxicap Kit introductorio;OCSD;0
XH002407225;Sellante Concise + Lint Roller de regalo;OCSD;0
XH002405039;Sellante fotocurado Intituciones;OCSD;80
70201052134;1370 Filtek Z250 I jeringa;OCSD;0
70201051722;8004 Z100 A2 jeringa;OCSD;0
70201051730;8004 Z100 A3 jeringa;OCSD;0
70201051797;8004 Z100 C4 jeringa;OCSD;0
70201051854;8004 Z100 UD jeringa;OCSD;0
70201102137;71210 jeringa elastomérica penta;OCSD;0
70201052068;1370 Filtek Z250 B1 jeringa;OCSD;0
70201051748;8004 Z100 A3,5 jeringa;OCSD;0
70201052027;1370 Filtek Z250 A3 jeringa;OCSD;9
70201051714;8004 Z100 A1 jeringa;OCSD;0
70201052001;1370 Filtek Z250 A1 jeringa;OCSD;0
12271603974;FUSE T 0.8 A/250V;OCSD;0
12271603214;PC BOARD ASSEMBLY-HANDPIE;OCSD;0
70201121202;RelyX U100 color translúcido;OCSD;0
70201052019;1370 Filtek Z250 A2 jeringa;OCSD;5
70201052050;1370 Filtek Z250 B0,5 jeringa;OCSD;0
70201052035;1370 Filtek Z250 A3,5 jeringa;OCSD;3
70201052043;1370 Filtek Z250 A4 jeringa;OCSD;0
70201038513;3910 YT Filtek Supreme XT jeringa;OCSD;0
70201050658;3525 TKA RelyX Luting 2 Kit;OCSD;0
70200420373;Concise Sue, Composite Autocurado;OCSD;0
70201052084;1370 Filtek Z250 B3 jeringa;OCSD;0
70201051763;8004 Z100 B2 jeringa;OCSD;0
70201052092;1370 Filtek Z250 C2 jeringa;OCSD;0
70201052076;1370 Filtek Z250 B2 jeringa;OCSD;10
70201052142;1370 Filtek Z250 UD jeringa;OCSD;0
70201052118;1370 Filtek Z250 C4 jeringa;OCSD;0
70201051771;8004 Z100 B3 jeringa;OCSD;0
70201051805;8004 Z100 D3 jeringa;OCSD;0
XH002407514;1925EL Composite Concise Autocurado con adhesivo  USA;OCSD;0
XV000201139;organizador acrílico;OCSD;0
70201051789;8004 Z100 C2 jeringa;OCSD;0
XH002407696;Kit RelyX Fiber Post;OCSD;0
70201122648;RelyX Fiber Post Refill Size 1;OCSD;0
70201122655;RelyX Fiber Post Refill Size 2;OCSD;0
70201122663;RelyX Fiber Post Postes tamano 3;OCSD;0
70201122671;RelyX Fiber Post fresa tamano 1;OCSD;0
70201122689;RelyX Fiber Post fresa tamano 2;OCSD;0
70201122697;RelyX Fiber Post fresa tamano 3;OCSD;0
70201122705;RelyX Fiber Post fresa universal;OCSD;0
70201050930;Ketac N100 Kit color A3;OCSD;12
70201050948;Ketac N100 color A1;OCSD;0
70201050955;Ketac N100 color A2;OCSD;0
70201051029;Ketac N100 Primer;OCSD;0
70201130054;31730 Impregum penta soft refill pack;OCSD;0
70201111492;37160 Aplicador y Activador capsulas;OCSD;0
70201051755;8004 Z100 A4 jeringa;OCSD;0
70201134304;RelyX Fiber Post Postes tamano 2;OCSD;0
70201134296;RelyX Fiber Post Postes tamano 1;OCSD;0
70201051987;8100 Filtek P60 B2 jeringa;OCSD;25
70201051979;8100 Filtek P60 A3 jeringa;OCSD;112
41530007867;1982C Soflex 30 unids.;OCSD;0
70201051896;7512L Vitrebond líquido;OCSD;3
70201051839;8004 Z100 I jeringa;OCSD;0
70201054015;4762A3 FILTEK P90 A3 JERINGA;OCSD;0
70201051847;8004 Z100 P jeringa;OCSD;0
70201134312;RelyX Fiber Post Postes tama¦o 3;OCSD;0
XH002404941;Z100A2 Composite fotocurado hibrido color A2 jer. 4 g.CENABAST;OCSD;0
78806095218;Cajita dispensadora de gotas con protector de luz;OCSD;0
XH002415061;NUevo Kit F.Post 5 unidades Ñ 1;OCSD;0
XH002415079;Nuevo Kit F. Post 5 unds.Ñ2;OCSD;0
XH002403059;RelyX U100 A2 con accudose;OCSD;0
XH002403042;RelyX U100 Tr con accudose;OCSD;0
XH002403067;RelyX U100 A3 con accudose;OCSD;0
XH002415038;Kit Z100 3 jer A2,A3 y A3.5 + S. Bond y huinchas;OCSD;0
XH002415152;R. Fiber Post Ñ 1 + ptas accudose;OCSD;0
XH002415178;R. Fiber Post Ñ 2+ptas accudose;OCSD;0
LN314000007;Portajeringas acrilico 3MESPE;OCSD;0
70201057356;3525TKA RELYX LUTING 2 TRIAL KIT;OCSD;0
XH002415616;Kit Z100 4 jer + P60 A3;OCSD;0
XH002415707;PROMO 7301 EXPRESS VPS IMPR MATL FAST SET +10 PTAS;OCSD;0
