Codigo;Descripcion Comprador
9020689866;BANDA PRIMER MOLAR SUP. DER. PRESCRIPCION ROTH (REBORDE OCLUSAL ENDURECIDO, MICROARENADA - ACERO INOXIDABLE CON TUBO TRIPLE Y CAJA PALATINA N°34+, 34+UR BANDA 1ER M T.TRIPLE ROTH CJ 068914+080110 3, DESPACHO EN 4 DIAS
70201059899;527806 FILTEK BULK FILL FLOW A2 3M DENTAL
UU009805928;3M LAMPARA ELIPAR LED DEEP CURE-L FOTO
70201413591;USA PORTA DISCOS ACERO PM USA FICHA ADJUNTA ENTREGA 2 DIAS HABILES.
70201057711;3M VITREBOND KIT 9GRS+5.5ML 7510 3M USA FICHA ADJUNTA VCTO SUP A 13 MESES DESDE RECEPCION ENTREGA 2 DIAS HABILES.
9020679685;BANDAS MBT PRIMER MOLAR INFERIOR TUBO DOBLE CONVERTIBLE DERECHO 39
70201408401;527810 FILTEK ONE BULK FILL A2 3M DENTAL VENCIMIENTO 09-2025 SE ADJUNTA FICHA TECNICA. DESPACHO 2 DÍAS 48 HORAS EL DESPACHO NO TIENE COSTO ADICIONAL. MUNNICH CUENTA CON SERVICIO DE POST VENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS
70201076067;GS 3657 - COMPOSITE Z-350 XT FLOW A3 2G
70201135913;527855 RELYX TEMP NO EUGENOL 3M DENTAL. VCTO. 07-2025 - LOS PRODUCTOS OFERTADOS CUENTAN CON UN VENCIMIENTO SUPERIOR A 24 MESES. SE ADJUNTA FICHA TECNICA. DESPACHO EN 1 DÍA. EL DESPACHO NO TIENE COSTO ADICIONAL. MONTO MINIMO FACTURACION 0.- MUNNICH CUENTA CON SERVICIO DE POST VENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS.
90206898919;BANDAS MBT PRIMER MOLAR SUPERIOR TUBO TRIPLE CONVERTIBLE IZQUIERDO 33
70006631561;ARCOS NITINOL 0,012 INF - FORMA CUADRADA (10 UNIDADES), MARCA 3M UNITEK, PROCEDENCIA USA, SE ADJUNTA FICHA TÉCNICA, DESÁCHO EN 4 DÍAS
70201056531;BARNIZ DE CONTACTO PROLONGADO CON TCP CON DISPENSADOR CLICKER TIPO 3M ESPE CLINPRO XT
70201059907;JERINGA FILTEK Z350 XT TONO A3B 3M - MARCA:3M- COD:70201059907 UN VTO ENTREGA EN:10-15 DIAS HABILES
70201059915;MD 2866 COMPOSITE Z-350 XT A3,5B JER 4G
70201408054;COMPOSITE Z-350 XT FLOW A3 2GX2
70202091123;3072616-0 BANDA MBT CON TUBO SIMPLE PRESOLDADO LL 42 ANILLO METALICO CON TUBO SIMPLE SOLDADO EN CARA VESTIBULAR (TECNICA MBT), BANDA MBT CON TUBO SIMPLE PRESOLDADO LL 42
70201408401;COMPOSITE FOTOCURADO BULK FILL A2 JER 4 GR, MARCA 3M PROCEDENCIA ESPE, VCTO 2024. SE ADJUNTA FICHA TECNICA, PRECIO OFERTADO INCLUYE FLETE
70201144139;527832 ACID.ORTOF.JER.3ML SCOTCH 3M DENTAL -VENCIMIENTO JULIO 2025-SE ADJUNTA FICHA TECNICA. DESPACHO EN 24 HORAS EL DESPACHO NO TIENE COSTO ADICIONAL.
70201030890;"DISCOS SOFLEX NARANJO PEQUEÑOS 4930M DISCOS SOF-LEX XT 3/8 SUPER FINO NUEVA PRESENTACIÓN BOLSA DE 30 UNIDADES MARCA 3M ESPE PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA FECHA DE VENCIMIENTO INFORMADA EN ARCHIVO ADJUNTO FLETE INCLUIDO OFERTA POR UNIDAD DE DISCO."""
9050679589;252-0102 BANDA DE 2 MOLAR SUP.DER. C/TUBO SIMPLE (MBT.022) N38+, BANDAS MOLAR CONTORNEADA DE ACERO INOXIDABLE, CON SUPERFICIE INTERNA MICRO-GRABADAS PARA MEJOR RETENCIÓN Y BAJO PERFIL
XA009216749;DISPOSITIVO MEDICO: PORTA DISCOS SOF-LEX MARCA 3M ESPE PROCEDENCIA USA PRESENTACIÓN BOLSA DE 3 UNIDADES SE ADJUNTA FICHA TÉCNICA FLETE INCLUIDO COD: ES70200470576
70202077411;NITINOL CL OFIII OVOID L 020 UNIT OF USE 4296-524 - MARCA:- COD:70202077411 VTO ENTREGA EN:
70201059832;RESTAURADOR FLUIDO 3MT FILTEKT SUPREME, 7032A3, 2 JERINGAS, 2 G, TONO A3
70201143149;527820 KIT KETAC MOLAR EASYMIX, VCTO 07-2025, 3M DENTAL. DESPACHO 1 DIA CORRIDO, SIN COSTO ADICIONAL. VENCIMIENTO SUPERIOR A 24 MESES. SE ADJUNTA CARTA DE CANJE. SIN MONTO MINIMO DE DESPACHO.
70201088260;527846 CLINP.WHI.VARN.100 C100P 3M DENTAL VENCIMIENTO 10-2025 SE ADJUNTA FICHA TECNICA. DESPACHO 1 DÍAS 24 HORAS EL DESPACHO NO TIENE COSTO ADICIONAL. MUNNICH CUENTA CON SERVICIO DE POST VENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS
70201031013;DISCO SOF-LEX XT 12´´ 4931 MEDIO PLÁSTICO BOLSA 30 UNDS MARCA 3M ESPE SE ADJUNTA IMAGEN
70201051979;JERINGA FILTEK P60 TONO A3 3M - MARCA:3M- COD:70201051979 UN VTO ENTREGA EN:15-20 DIAS HABILES
70000850456;BRACKETS BALANCE ROTH 0.22 MARCA 3M UNITEK
70202071653;RESORTE DE TRACCION PARA CERRAR ESPACIOS DE NITINOL (NITI) 200GR 7MM 2 OJETES, PRODUCTO MARCA 3M UNITEK ,PROCEDENCIA USA. SE ADJUNTA CATALOGO DE LA MARCA
70201059824;COMPOSITE FILTEK Z350 FLOW DE RESTAURACIÓN, COLOR A2 PRESENTACIÓN KIT DE 2 JERINGA DE 2G. CADA UNA MARCA 3M ESPE PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA FECHA DE VENCIMEINTO 24 MESES FLETE INCLUIDO
70000876105;LWPR BT SNG CV MBT MB LRT 1MOLAR -20T0OF 4.3MM 022 067-6214 - MARCA:- COD:70000821341 VTO ENTREGA EN:5 A 6 DIAS 65 DIS
70201408419;COMPOSITE Z-350 XT FLOW A3 2G X 2JERINGAS
70201026104;IONOMERO OBTURACION FOTOCURADO VITREMER PEDIATRICO SET
70201140426;3M7020114042-ADHESIVO SINGLE BOND UNIVERSAL 5ML
70201401158;3M CLINPRO BARNIZ FLUOR WHITE X UNIDOSIS. MARCA 3M USA FICHA ADJUNTA ENTREGA 3 DIAS HABILES. VCTO 13 MESES
70202091594;BANDA PRIMER MOLAR SIN TUBO UL NR 38,5 MARCA 3M UNITEK USA FICHA Y CERTIF ADJUNTA ENTREGA 2 DIAS HABILES.
70201143149;3M KETAC MOLAR 12,5 GRS.POLVO A3+8,5 ML. MARCA 3M USA FICHA Y CERTIF ADJUNTA VCTO SUP A 13 MESES DESDE RECEPCION ENTREGA 5 DIAS HABILES.
70201051979;527816 FILTEK P60 A3 3M DENTAL LOS PRODUCTOS OFERTADOS CUENTAN CON UN VENCIMIENTO SUPERIOR A 24 MESES.SE ADJUNTA FICHA TÉCNICA.DESPACHO EN 24 HORAS.EL DESPACHO NO TIENE COSTO ADICIONAL.MONTO MÍNIMO DE FACTURACIÓN 50.000. MUNNICH CUENTA CON SERVICIO POSTVENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS
70202072891;DISPOSITIVO MEDICO: ELASTICO INTRAORAL OZ 1/8´ HEAVY PRESENTACIÓN CAJA DE 30 BOLSAS DE 100 UNIDADES MARCA 3M UNITEK PROCEDENCIA USA FECHA DE VENCIMIENTO MÍNIMA 12 MESES FLETE INCLUIDO COD: 3M7020207294
70201088260;CLINPRO WHITE VARNISH 100 UNIDOSIS CON 100 PINCELES 3M - MARCA:3M-PRESENTACION DE 100 UNIDADES COD:70201088260 KT VTO ENTREGA EN:10-15 DIAS HABILES
70201059899;COMPOSITE FILTEK Z350 XT - JERINGA DE 4 GRAMOS - TONO A2B - MARCA 3M. FECHA DE VENCIMIENTO 04-2025
70201059907;COMPOSITE FILTEK Z350 TONO A3 PRESENTACIÓN JERINGA DE 4GR CADA UNA COMPOSITE RESINA FOTO POLIMERIZACIÓN DISEÑADA PARA SER UTILIZADA EN RESTAURACIONES ANTERIORES Y POSTERIORES. RELLENO 100% NANOMÉTRICO VENCIMIENTO INFORMADA EN ARCHIVO ADJUNTO MARCA 3M ESPE PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA FLETE INCLUIDO
70201088260;CLINPRO XT VARNISH, MARCA 3M
70200452947;HUINCHA LIJA SOFLEX COD. 1954 - GRANO MEDIO Y GRUESO - CAJA 150 UNIDADES - MARCA 3M
70201059915;ULTRADENT COMPOSITE FORMA A3.5B 4 GRS. FICHA ADJUNTA VCTO 13 MESES ENTREGA 3 DIAS HABILES.
70202025642;TUBO CEMENTACION DIRECTA MBT EQUIVALENTE A VICTORY SERIES DIENTE 3.6, MARCA 3M UNITEK, PROCEDENCIA USA, SE ADJUNTA FICHA TÉCNICA, DESÁCHO EN 4 DÍAS
70201026088;527822 KIT VITREMER A3 3M DENTAL. VCTO. 06-2025 - SE ADJUNTA FICHA TECNICA. DESPACHO EN 24 HORAS EL DESPACHO NO TIENE COSTO ADICIONAL. MINIMO FACTURACION 0.- MUNNICH CUENTA CON SERVICIO DE POST VENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS
70201059899;JERINGAS DE COMPOSITE FILTEK Z350 XT COLOR A2B, PRESENTACIÓN JERINGA DE 4G. CADA UNA MARCA 3M ESPE PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA FECHA DE VENCIMIENTO 24 MESES FLETE INCLUIDO
70201059915;527777 FILTEK Z350 XT TONO A3.5B 3M DENTAL. VCTO. 02-2026 - SE ADJUNTA FICHA TECNICA. DESPACHO EN 1 DIA. EL DESPACHO NO TIENE COSTO ADICIONAL.MUNNICH CUENTA CON SERVICIO DE POST VENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS.
70202077379;ARCOS DE NITINOL TERMO ACTIVADOS 0.16 INFERIOR DE FORMA OVOIDE ORTHO FORM III. MARCA 3M UNITEK PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA FECHA DE VENCIMIENTO NO APLICA PRESENTACIÓN SOBRE DE 10 UNIDADES FLETE INCLUIDO
70201059915;527777 FILTEK Z350 XT TONO A3.5B 3M DENTAL. VCTO. 07-2025 - SE ADJUNTA FICHA TECNICA. DESPACHO EN 24 HORAS EL DESPACHO NO TIENE COSTO ADICIONAL. MUNNICH CUENTA CON SERVICIO DE POST VENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS.
90206898919;BANDAS MOLARES MTB N 35 SUPERIOR IZQUIERDA KIT X 5 UD TRIPLE TUBO UD UNITEK USA FICHA ADJUNTA
70202091354;BANDA 1ER. MOLAR LR 40 CON TUBO, ROTH, MARCA 3M
70006629375;GEMINI TWIN MBTUL LTRT 5X5 HK 022 119-154 - MARCA:- COD:70202175835 VTO ENTREGA EN:3 A 4 DIAS CON STOCK 65 DIAS SIN STOCK
70202119494;BOLSA DE LIGADURS DE COLOR ROJO UNITEK X 1000 UDS MARCA 3M UNITEK USA FICHA ADJUNTA ENTREGA 3 DIAS CORRIDOS.
70201143149;MATERIAL RESTAURADOR A BASE DE IONÓMERO DE VIDRIO QUE CONSISTE EN UNA COMBINACIÓN DE VIDRIO DE SILICATO DE ALUMINIO Y ÁCIDO POLIACRÍLICO. EL POLVO SE MEZCLA CON AGUA DESTILADA PARA PRODUCIR UN MATERIAL OCLUSANTE QUE SE ADHIERE A LA DENTINA Y EL ESMALTE CONSIGUIENDO UNA RESTAURACIÓN HERMÉTICAMENTE SELLADA RESISTENTE Y ESTÉTICA KETAC MOLAR EASY MIX SE ADJUNTA FICHA TÉCNICA MARCA 3M ESPE PROCEDENCIA USA FECHA DE VENCIMIENTO INFORMADA EN ARCHIVO ADJUNTO FLETE INCLUIDO
70202093004;DISPOSITIVO MEDICO: BANDA PRIMER MOLAR MBT INFERIOR DERECHO TUBO SIMPLE 38+ MARCA 3M UNITEK PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA COD NUEVO : 3M902679040AV
70201408401;COMPOSITE FILTEK BULK FILL, RESTAURADOR FLUIDO A2 DE 2 A 4 DIAS CON STOCK45 DIA
70201059899;7032A2 FILTEK SUPREME FLOW SYR 2G, 2 SYRKT APACLA 3M - MARCA:- COD:70201408039 VTO ENTREGA EN:5 A 10 DIAS
70000879117;TUBOS SIMPLE PCEMEN. 2M INF.DER. MBT UNITEK-067-9154
70201408419;527807 FILTEK BULK FILL FLOW A3 3M DENTAL. VCTO. 09-2025 - SE ADJUNTA FICHA TECNICA. DESPACHO EN 72 HORAS EL DESPACHO NO TIENE COSTO ADICIONAL. MONTO MINIMO FACTURACION 0.- MUNNICH CUENTA CON SERVICIO DE POST VENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS.
70201030908;DISCO LIJA SOFLEX 4850F 38 X30 IGUAL A 1981C
70202026111;SUPERIORFIT BT SNG MBTULT 2MOLAR N-CV-14T10OFF 022 069-4103 - MARCA:- COD:70000879067 VTO ENTREGA EN:
9020689866;BANDA PRIMER MOLAR SUP. DER. PRESCRIPCION ROTH (REBORDE OCLUSAL ENDURECIDO, MICROARENADA - ACERO INOXIDABLE CON TUBO TRIPLE Y CAJA PALATINA N°36+, 36+UR BANDA 1ER M T.TRIPLE ROTH CJ 068914+080110 3, DESPACHO EN 4 DIAS
70201076067;527776 FILTEK Z350 XT TONO A3B 3M DENTAL, COD-SCFHM, VCTO MAYOR A 24 MESES. DESPACHO 1 DIA HABIL EL DESPACHO NO TIENE COSTO ADICIONAL. MUNNICH CUENTA CON SERVICIO DE POST VENTA Y POLITICA DE CANJE Y DEVOLUCION.
XH002417083;527863 RELYX U200 AUTOM-A3 8,5G 3M DENTAL -VENCIMIENTO AGOSTO 2025-SE ADJUNTA FICHA TECNICA. DESPACHO EN 2 DIAS HABILES EL DESPACHO NO TIENE COSTO ADICIONAL
70202078799;ARCOS NITINOL 0,016X0,022 INF - FORMA OVOIDE (10 UNIDADES), MARCA 3M UNITEK, PROCEDENCIA USA, SE ADJUNTA FICHA TÉCNICA, DESÁCHO EN 4 DÍAS
70201088260;BARNIZ DE FLUOR CLINPRO, CAJA DE 100 UNIDADES MARCA 3M.
70201031021;DISCO SOF-LEX 12´´ 4931 F BOLSA 30 UNDS
70202077346;ARCOS NITINOL REDONDO. BOLSA DE 10 UNIDADES, ORTHOFORM III 3M
XH002405526;527850 SELLANTE FOTOCURADO CONCISE FRASCO, VCTO 12-2025, 3M DENTAL, COD-SCFHM. DESPACHO 2 DIA CORRIDO, SIN COSTO ADICIONAL. VENCIMIENTO SUPERIOR A 24 MESES. SE ADJUNTA CARTA DE CANJE. SIN MONTO MINIMO DE DESPACHO.
70202077361;NITINOL SE OFIII OVOID U 016 UNIT OF USE
70201057711;VITREMER A3 VIDRIO IONOMERO
70201408419;FILTEK ONE BULK FILL A3 3M ENTREGA EN 5 A 6 DIAS
XH002405526;527850 SELLANTE FOTOCURADO CONCISE FRASCO 3M DENTAL SE ADJUNTA FICHA TECNICA. SE ADJUNTA CARTA DE CANJE. VENCE 07-2024 MAYOR A 24 MESES. DESPACHO EN 1 DIA HABIL. EL DESPACHO NO TIENE COSTO ADICIONAL. MUNNICH CUENTA CON SERVICIO DE POST VENTA Y POLITICA DE CANJE Y DEVOLUCION.
70201059824;527775 FILTEK Z350 XT TONO A2B 3M DENTAL, COD-SCFHM-VENCIMIENTO JULIO 2025-SE ADJUNTA FICHA TÉCNICA. DESPACHO EN 2 DIAS HABILES. EL DESPACHO NO TIENE COSTO ADICIONAL.
70201408419;3M FILTEK ONE BULK FILL A3 JERINGA 4GRS. PLAZO ENTREGA 2 DIAS
70201402214;3M HUINCHA PCOMP. SOFLEX GRANO SF X 120 UDS
70201059899;FILTEK Z350 XT TONO A2B
70201026088;GS - 215 IONOM OBTUR FOTO VITREMER A3 SET
70201143149;KETAC MOLAR EASYMIX 3M - MARCA:3M- COD:70201143149 UN VTO ENTREGA EN:15-20 DIAS HABILES
70201059915;3M FILTEK Z350 XT UNIV.COLOR A3.5B JERINGA 7018A3.5B
70201059907;RESINA FILTEK Z350 TONO A3B MARCA 3M ESPE PROCEDENCIA USA SE ADJUNTA FICHA TÉCNICA PRESENTACIÓN JERINGA DE 4GR FECHA DE VENCIMIENTO SOBRE 12 MESES FLETE INCLUIDO
70201036533;527868 MAT.LIVIAN.EXPR.AZULRAP 3M DENTAL VENCIMIENTO 08-2025 SE ADJUNTA FICHA TECNICA. DESPACHO 1 DÍAS 24 HORAS EL DESPACHO NO TIENE COSTO ADICIONAL. MUNNICH CUENTA CON SERVICIO DE POST VENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS
70201051979;3M COMPOSITE FILTEK P60 JERINGA A3 8100 USA FICHA ADJUNTA
70201143149;3M INFO KETAC MOLAR 12,5 GRS.POLVO A3+8,5 ML. SE ADJUNTA FICHA TECNICA VCTO SUP A 13 MESES
70201030957;DISCO SOFLEX TAMAÑO GRANDE EXTRA FINO PUEDE SER DE CARTÓN 4851SF O PLÁSTICO 4931SF A PREFERENCIA DEL COMPRADOR, BOLSA DE 30 UNIDADES MARCA 3M
70201079103;527802 FILTEK Z250 A1 3M DENTAL SE ADJUNTA FICHA TECNICA SE ADJUNTA CARTA DE CANJE VENCIMIENTO MAYOR A 24 MESES DESPACHO EN 48 HORAS EL DESPACHO NO TIENE COSTO ADICIONAL. MUNNICH CUENTA CON SERVICIO DE POST VENTA Y POLITICA DE CANJE Y DEVOLUCION.
70201059907;3M FILTEK Z350 XT UNIV.COLOR A3B JERINGA 4 GRS FICHA ADJUNTA ENTREGA 3 DIAS HABILES. VCTO 18 MESES DESDE RECEPCION
70201408054;3M FILTEK SUPREME FLOW RESTORATIVE A3 JERINGA UNIDAD FICHA TECNICA VCTO SUP A 13 MESES
70201139303;ADHESIVO SINGLE BOND UNIVERSAL FRASCO 3ML 3M - MARCA:3M- COD:70201139303 UN VTO ENTREGA EN:10-15 DIAS HABILES
70201408401;527810 FILTEK ONE BULK FILL A2 3M DENTAL VENCIMIENTO 09-2025 SE ADJUNTA FICHA TECNICA. DESPACHO 1 DÍAS 24 HORAS EL DESPACHO NO TIENE COSTO ADICIONAL. MUNNICH CUENTA CON SERVICIO DE POST VENTA EL QUE EN UN RANGO NO MAYOR A 48 HORAS DARA SOLUCION A LOS POSIBLES REQUERIMIENTOS
70201030924;3M70201030924-DISCO SOF-LEX 12´´ 4851 GRUESO BOLSA 30 UNDS
70201059915;527777 FILTEK Z350 XT TONO A3.5B, VCTO 05-2025, 3M DENTAL. DESPACHO EN 1 DIA HABIL, SIN COSTO ADICIONAL. VENCIMIENTO SUPERIOR A 24 MESES. SE ADJUNTA CARTA DE CANJE. SIN MONTO MINIMO DE DESPACHO. VALIDEZ DE LA OFERTA 90 DÍAS
70202078906;NITINOL ARCO CLASICO SUPERIOR 019X025, PREFORMADO, ALEACION CON MEMORIA DE FORMA, TIPO 3M ORTHOFORMT III OVOIDE MARCA 3M UNITEK PROCEDENCIA USA SE ADJUNTA FICHA TECNICA COD: NUEVO 3M7020207890
70201030973;4930M DISCOS SOF-LEX XT 38 MEDIANO 3M - MARCA:3M- COD:70201030973 UN VTO ENTREGA EN:10-15 DIAS HABILES
70202091610;BANDAS PRIMEROS MOLARES INF CON TUBO MORELLI 39.5
70201059899;COMPOSITE FILTEK Z350XT BODY A2B JERINGA 4GRS, MARCA 3M
70201030882;4850C DISCOS SOF-LEX 38 GRUESO 3M - MARCA:3M- COD:70201030882 UN VTO ENTREGA EN:10-15 DIAS HABILES
70201059907;3M FILTEK Z350 XT UNIV.COLOR A3B JERINGA. FICHA ADJUNTA . VCTO 18 MESES ENTREGA 5 DIAS HABILES
70201140426;3M ADHESIVO SINGLE BOND 2 REP. FRASCO 3ML. MARCA 3M USA 13 MESES FICHA ADJUNTA ENTREGA 5 DIAS HABILES.
XH002418339;3M CLINPRO WHITE VARNISH 100 DOSIS MENTA CON TRI-CALCIO VENCIMIENTO 12-2024
70202092436;3072562-6 BANDA MBT CON TUBO SIMPLE PRESOLDADO UL 37 ANILLO METALICO CON TUBO SIMPLE SOLDADO EN CARA VESTIBULAR (TECNICA MBT), BANDA MBT CON TUBO SIMPLE PRESOLDADO UL 37
70202078781;3MU70202078989-ARCO NITI TERMO ORTHOFORM III 016X022 SUP 4297-913 3M
70201030940;DISCO SOF-LEX 38´´ 4850 MEDIO BOLSA 30 UNDS
70201088260;CLINPRO WHITE VARNISH MARCA: 3M EMPAQUE: CAJA UNIDADES POR ENVASE: 100 UNIDOSIS. VENCIMIENTO: ABRIL 2025
70201143149;KETAC MOLAR EASYMIX 3M ENTREGA EN 5 A 6 DIAS
70201144139;MD 4 ACIDO GRAB FOSF GEL 37P GELACID 3,5ML
70201140756;527857 RELYX ULTIMATE CLICKER TONO A1, VCTO 05-2026, 3M DENTAL. DESPACHO 3 DIAS HABILES SIN COSTO ADICIONAL. VENCIMIENTO SUPERIOR A 24 MESES. SE ADJUNTA CARTA DE CANJE. SIN MONTO MINIMO DE DESPACHO.
70201059915;3M FILTEK Z350 XT UNIV.COLOR A3.5B JERINGA 7018A3.5B FICHA TECNICA VCTO SUP A 13 MESES
70201076067;527807 FILTEK BULK FILL FLOW A3 3M DENTAL, COD-SCFHM VENCIMIENTO AGOSTO 2025-SE ADJUNTA FICHA TÉCNICA. DESPACHO EN 1 DIA HABIL. EL DESPACHO NO TIENE COSTO ADICIONAL.
70202067495;ARCO ACERO F.III 016X022 SUP. UNITEK-300-017 ARCO ACERO F.III 016X022 INF. UNITEK-300-018 FICHA Y CERTIFICACION ADJUNTA PAQUETE 10 UDS 3M UNITEK
70202074269;ALASTIK BOBBIN CHAIN C-1 GRAY 15 406-611 - MARCA:- COD:70202074269 VTO ENTREGA EN:5 A 6 DIAS 65 DIS
9020689890;252-0070 BANDA DE 1 MOLAR SUP.IZQ. C/TUBO TRIPLE (MBT.022) N39, BANDAS MOLAR CONTORNEADA DE ACERO INOXIDABLE, CON SUPERFICIE INTERNA MICRO-GRABADAS PARA MEJOR RETENCIÓN Y BAJO PERFIL
70201059899;JERINGA FILTEK Z350 XT TONO A2B 3M - MARCA:3M- COD:70201059899 UN VTO ENTREGA EN: 7 DIAS
70202067503;ARCOS NITI.CLASICO INF.016X022 OF.III UNIDAD UNITEK UNITEK-4297-854U OVOIDE
70201408401;3M7020140497-COMPOSITE FILTEK ONE BULK FILL A2 4GRS
70202072941;LATEXELASTICS 30PKSOF100 MED4OZ 18 CATHY 404-516 - MARCA:- COD:70202072891 VTO ENTREGA EN:5 A 6 DIAS CON STOCK65 DIAS SIN STOCK
70202078831;ARCOS NITI.CLASICO INF.017X025 OF.III 10 UDS. UNITEK OVOIDE FIII UNITEK-4297-858
70202067594;3MU70000807209 ARCO BRAIDED OF OVOID FOR III 019X025 SUP 300-971
70201059915;JERINGA FILTEK Z350 XT TONO A3.5B 3M - MARCA:3M- COD:70201059915 UN VTO ENTREGA EN:10-15 DIAS HABILES
70202067446;ARCOS ACERO INOX REDONDO 0,018 INF - FORMA CUADRADA (10 UNIDADES), MARCA 3M UNITEK, PROCEDENCIA USA, SE ADJUNTA FICHA TÉCNICA, DESÁCHO EN 4 DÍAS
9020689866;BANDA PRIMER MOLAR SUP. DER. PRESCRIPCION ROTH (REBORDE OCLUSAL ENDURECIDO, MICROARENADA - ACERO INOXIDABLE CON TUBO TRIPLE Y CAJA PALATINA N°34+, 34+UR BANDA 1ER M T.TRIPLE ROTH CJ 068914+080110 3, DESPACHO EN 4 DIAS
70201079137;3M7020105203-COMPOSITE FILTEK Z250 A3.5 4GRS MARCA 3M ESPE VENCIMIENTO SUPERIOR 12 MESES
70201030924;3M DISCO SOFLEX GRUESO PLAST 4931C 12 BOLSA 30 UNID EX-2382C VCTO 15 MESES FICHA ADJUNTA ENTREGA 4 DIAS HABILES.
70201030932;DISCO LIJA SOFLEX 4851M 1-2 X30 IGUAL A 1982M
70201057711;527822 KIT VITREMER A3 3M DENTAL, COD-SCFHM-VENCIMIENTO JULIO 2025-SE ADJUNTA FICHA TÉCNICA. DESPACHO EN 2 DIAS HABILES. EL DESPACHO NO TIENE COSTO ADICIONAL.
